category	rule_id	title	description	example	severity	applies_to
general	G-001	Readability first	Code must be easy to read before being clever. Prefer clarity over brevity.	Use descriptive variable names instead of short ones.	required	all
general	G-002	Small functions	Functions should do one thing and be under ~50 lines.	Split long handlers into helpers.	required	all
general	G-003	No dead code	Remove commented-out or unused code before merging.	Delete unused imports and functions.	required	all
general	G-004	Type safety	Use TypeScript types for all new code. Avoid 'any' type unless absolutely necessary.	Use `interface` or `type` instead of `any`.	required	frontend
general	G-005	Consistent formatting	Follow existing code formatting patterns in the project.	Use same indentation and spacing as surrounding code.	recommended	all
naming	N-001	Consistent naming	Use consistent naming conventions across the codebase.	camelCase for variables	 PascalCase for components/types.	required	all
naming	N-002	No abbreviations	Avoid unclear abbreviations unless widely accepted.	Use `appointmentID` instead of `apptId`.	recommended	all
naming	N-003	Descriptive names	Variable and function names should clearly describe their purpose.	`getUserAppointments` instead of `getData`.	required	all
naming	N-004	File naming	Follow project file naming conventions: PascalCase for components	 camelCase for hooks/utils.	`ClientDashboard.tsx` for components	 `useCreateAppointment.ts` for hooks.	required	frontend
errors	E-001	Explicit error handling	Errors must be handled explicitly	 not ignored.	Always use try/catch blocks and show user-friendly messages.	required	all
errors	E-002	Actionable errors	Error messages should explain what failed and why.	"Failed to load appointments. Please try again." instead of "Error".	required	all
errors	E-003	User feedback	Always provide user feedback for errors using Telegram WebApp alerts or UI messages.	Use `tg.showAlert()` for critical errors.	required	frontend
errors	E-004	Loading states	Show loading indicators during async operations.	Display spinner or loading text while fetching data.	required	frontend
api	A-001	Validate inputs	All external inputs must be validated before processing.	Validate request payloads and user inputs.	required	all
api	A-002	Error handling	Handle API errors gracefully with proper error messages.	Catch API errors and show user-friendly messages.	required	frontend
api	A-003	API service pattern	All API calls must go through the centralized apiService.	Use `apiService.methodName()` instead of direct fetch calls.	required	frontend
api	A-004	Request validation	Validate all API request parameters before sending.	Check required fields and data types before API calls.	required	frontend
state	S-001	State location	Keep state as close to where it's used as possible.	Use local state for component-specific data.	required	frontend
state	S-002	Context usage	Use React Context for global state only. Avoid prop drilling.	Use UserContext for user data shared across routes.	required	frontend
state	S-003	State updates	Never mutate state directly. Always use setState or state updater functions.	Use `setState(newValue)` not `state.value = newValue`.	required	frontend
state	S-004	Derived state	Avoid storing derived state. Calculate it when needed.	Calculate `fullName` from `firstName` and `lastName` instead of storing it.	recommended	frontend
components	C-001	Component structure	Follow the standard component structure: imports	 types	 component	 export.	Organize imports	 then interfaces	 then component code.	required	frontend
components	C-002	Props interface	Always define TypeScript interfaces for component props.	`interface ComponentProps { id: string; title: string; }`	required	frontend
components	C-003	Component size	Keep components focused and under ~200 lines. Split large components.	Extract sub-components or use composition.	recommended	frontend
components	C-004	Reusability	Extract reusable logic into custom hooks or utility functions.	Create `useCreateAppointment` hook for appointment creation logic.	required	frontend
components	C-005	One CSS per component	Each component should have its own CSS file.	`Component.tsx` and `Component.css` in the same directory.	required	frontend
hooks	H-001	Hook naming	All custom hooks must start with 'use' prefix.	`useCreateAppointment`	 `useProfessionalAvailability`.	required	frontend
hooks	H-002	Hook dependencies	Always include all dependencies in useEffect and useCallback dependency arrays.	Include all used variables in dependency array.	required	frontend
hooks	H-003	Data fetching	Use enabled flags to control when data is fetched.	`useEffect(() => { if (enabled) loadData() }	 [enabled])`	required	frontend
hooks	H-004	Error handling	All hooks that make API calls must handle errors.	Set error state and provide error messages.	required	frontend
i18n	I-001	No hardcoded strings	All user-facing text must use i18n translation keys.	Use `t('client.dashboard.title')` instead of "Dashboard".	required	frontend
i18n	I-002	Translation keys	Use nested objects for translation key organization.	`client.dashboard.welcome` instead of `clientDashboardWelcome`.	required	frontend
